claim_id,manuscript_location,claim_text_or_summary,result_type,condition,horizon,metric,baseline,required_evidence,located_artifact,generating_script,config,commit,evidence_status,severity,notes
C1,Results / Section 4.1,"In Madrid, meteorology yields a point-estimate predictability horizon gain of Delta H* = +8 h (H* = 17 h vs 9 h) over full-year 2023 evaluation.",H_star_horizon,lags_meteo,h=1..24,H_star_strict,lags_only,Full-year rolling origin evaluation metrics by horizon,results/ijer/canonical/canonical_common_window_results.csv,code/run_e1_common_window.py,code/e2_met_madrid_config.json,18d0f830b1b7bf92684d5443c7b544d571e2a3b5,A_EXISTS_AND_USED,NONE,Fully verified canonical result. Point estimate gain confirmed.
C2,Results / Section 4.2,"Evaluating Madrid over the common Jan-Jul 2023 window yields Delta H* = +10 h (H* = 19 h vs 9 h), but unbroken continuity from h=1 (H_from_h1) drops from 17 h to 0 h.",H_star_horizon,lags_meteo,h=1..24,H_star_strict & H_from_h1,lags_only,Jan-Jul 2023 common window rolling origin evaluation metrics,results/ijer/canonical/canonical_common_window_results.csv,code/run_e1_common_window.py,code/e2_met_madrid_config.json,18d0f830b1b7bf92684d5443c7b544d571e2a3b5,A_EXISTS_AND_USED,NONE,"Fully verified. Directionally stable, classified as POINT_ESTIMATE_POSITIVE."
C3,Results / Section 4.3,"Madrid block bootstrap Delta H* has a median of +3.0 h (95% CI [-8.0, +12.0] h) and P(Delta H* > 0) = 74.5%.",Bootstrap_uncertainty,lags_meteo vs lags_only,h=1..24,Delta_H_star,lags_only,"Block bootstrap resamples (B=2000, L=7 days, seed=20260802)",results/ijer/canonical/canonical_hstar_uncertainty.csv,code/run_e3_hstar_uncertainty.py,code/e2_met_madrid_config.json,18d0f830b1b7bf92684d5443c7b544d571e2a3b5,A_EXISTS_AND_USED,NONE,Fully verified. Properly reflects sampling uncertainty alongside point estimate positivity.
C4,Results / Section 4.4,"Henry Street Limerick exhibits a point estimate gain of Delta H* = +7 h, but high bootstrap uncertainty (median +2.0 h, 95% CI [-10.0, +12.0] h, P(>0) = 69.9%).",Bootstrap_uncertainty,lags_meteo vs lags_only,h=1..24,Delta_H_star,lags_only,"Block bootstrap resamples (B=2000, L=7 days, seed=20260802) for Limerick",results/ijer/canonical/canonical_hstar_uncertainty.csv,code/run_e3_hstar_uncertainty.py,code/e2_met_ireland_config.json,18d0f830b1b7bf92684d5443c7b544d571e2a3b5,A_EXISTS_AND_USED,NONE,Fully verified. Classified as POINT_ESTIMATE_POSITIVE_BUT_UNCERTAIN.
C5,Discussion / Section 5.2,"Five of eight Irish stations (Birr, Dundalk, Pearse St, Ringsend, Portlaoise) exhibit ceiling censoring (lags-only H* = 24 h).",Structural_censoring,lags_only,h=24,H_star_ceiling,persistence,Station-level H* summary table showing lags-only reaching max horizon h=24,results/ijer/canonical/canonical_hstar_uncertainty.csv,code/run_e3_hstar_uncertainty.py,code/e2_met_ireland_config.json,18d0f830b1b7bf92684d5443c7b544d571e2a3b5,A_EXISTS_AND_USED,NONE,Fully verified. Highlights evaluation truncation ceiling artifact.
C6,Results / Section 4.5,"Madrid h=12 DM-HLN test is statistically significant under within-station FDR correction (p_fdr_station = 0.0493, p_raw = 0.0123), but does not survive global Bonferroni (p_bonf_global = 0.4314).",Statistical_significance,lags_meteo vs lags_only,h=12,DM_HLN_p_value,lags_only,Diebold-Mariano test results with HAC lag correction and multiplicity adjustments across 35 valid tests,results/ijer/canonical/canonical_dm_multiple_testing.csv,code/run_e4_multiple_testing.py,code/e2_met_madrid_config.json,18d0f830b1b7bf92684d5443c7b544d571e2a3b5,A_EXISTS_AND_USED,NONE,Fully verified. Multiplicity control applied at station-level and global levels.
C7,Results / Section 4.5,Dublin Airport h=24 (p_bonf_global = 0.0007) and Pearse Street h=12 (p_bonf_global = 0.0463) survive strict global Bonferroni correction across all 36 tests.,Statistical_significance,lags_meteo vs lags_only,h=12 & h=24,DM_HLN_p_value,lags_only,Global Bonferroni adjusted p-values from 35 valid DM-HLN tests,results/ijer/canonical/canonical_dm_multiple_testing.csv,code/run_e4_multiple_testing.py,code/e2_met_ireland_config.json,18d0f830b1b7bf92684d5443c7b544d571e2a3b5,A_EXISTS_AND_USED,NONE,Fully verified. Demonstrates robust statistical significance in key Irish locations.
C8,Results / Section 4.6,"Exact SARIMA predictions at h=24 recovered for Dublin Airport (H*_strict=24, H*_relax=24, skill=+0.0407) and Dundalk (H*_strict=18, H*_relax=24, skill=+0.1145).",Secondary_baseline,sarima,h=24,H_star & Skill,persistence,SARIMA backtest predictions and metric completion table up to h=24,results/ijer/canonical/canonical_sarima_results.csv,code/run_e2_sarima_completion.py,code/e2_met_ireland_config.json,18d0f830b1b7bf92684d5443c7b544d571e2a3b5,A_EXISTS_AND_USED,NONE,Fully verified. Replaces former 23b lower-bound truncation with exact completed metrics.
C9,Limitations / Section 5.5,Evaluating model sensitivity to post-COVID training window truncation (2022-only vs 2019-2022) was not performed due to local data availability constraints.,Sensitivity_limitation,multi_year_train,h=1..24,MAE & H_star,lags_only,Experiment status document reporting E5 status as NOT_EXECUTED due to missing pre-2023 raw features,results/ijer/canonical/canonical_experiment_status.csv,code/run_e5_covid_sensitivity.py,code/e2_met_madrid_config.json,18d0f830b1b7bf92684d5443c7b544d571e2a3b5,B_EXISTS_NOT_INCORPORATED,MINOR,Raw pre-2023 feature data not present locally. Correctly framed as a study limitation in manuscript.
C10,Supplementary / Tables,"Absolute MAE and RMSE metrics exist for all models, conditions, stations, and horizons (h=1..24).",Absolute_metrics,all_conditions,h=1..24,MAE & RMSE,persistence,"CSV metrics tables containing absolute MAE, RMSE, MAE_persistence, RMSE_persistence, and n_eval",results/e2_met_madrid_pm10/metrics/metrics_all_models.csv,code/e2_met_madrid_run.py,code/e2_met_madrid_config.json,18d0f830b1b7bf92684d5443c7b544d571e2a3b5,B_EXISTS_NOT_INCORPORATED,MINOR,Absolute metric values are present in exported CSVs but main manuscript tables focus on Skill score and H*.
